id,artist,title,date_added
676,Smokie,"Lay Back In The Arms Of Someone","2018-11-21 09:46:58.677832"
677,"Tal Bachman","She's So High","2018-11-21 09:43:58.207350"
678,Kingston,"Cela Ulica Nori","2018-11-21 09:39:57.630786"
679,Avicii,"Wake Me Up","2018-11-21 09:39:57.629760"
680,Alphaville,"Sounds Like A Melody","2018-11-21 09:31:56.432145"
681,"Bryan Adams Rod Stewart Sting","All For Love","2018-11-21 09:30:56.233964"
682,Sabrina,Boys,"2018-11-21 09:17:24.393666"
683,"Ed Sheeran","Shape Of You","2018-11-21 09:13:23.893679"
684,Dmp,Astronavt,"2018-11-21 09:10:23.532197"
685,"Belinda Carlisle","Circle In The Sand","2018-11-21 09:07:23.188038"
686,"Bebe Rexha Florida Georgia Line","Meant To Be","2018-11-21 09:03:22.750481"
687,"Dj Bobo",Everybody,"2018-11-21 09:02:52.669985"
688,"Iggy Pop Feat. Kate Pierson",Candy,"2018-11-21 08:48:19.799019"
689,"Bruce Springsteen","Born In The Usa","2018-11-21 08:45:19.477207"
690,"Capital Cities","Safe And Sound","2018-11-21 08:41:18.996899"
691,"Dr. Alban","It's My Life","2018-11-21 08:36:47.350291"
692,"Eric Carmen","Hungry Eyes","2018-11-21 08:32:46.790727"
693,Milow,"Ayo Technology","2018-11-21 08:32:16.732445"
694,"Luis Fonsi Demi Lovato","Echame La Culpa","2018-11-21 08:17:42.699774"
695,"Paula Abdul","Straight Up","2018-11-21 08:14:12.252078"
696,"Jan Plestenjak","Jaz Že Vem Zakaj","2018-11-21 08:11:11.904153"
697,"Jennifer Lopez","Let`s Get Loud","2018-11-21 08:03:41.019443"
698,Tiffany,"I Think We'Re Alone Now","2018-11-21 08:02:40.882435"
699,"Robert Palmer Ub40","I'll Be Your Baby Tonight","2018-11-21 07:49:09.215018"
700,"Tina Turner","I Don't Wanna Lose You","2018-11-21 07:45:38.811100"
701,"Bryan Adams","Have You Ever Really Loved A Woman","2018-11-21 07:42:38.418812"
702,"Leteci Potepuhi","Ko Ti Vse Narobe Gre","2018-11-21 07:38:07.908261"
703,Omi,Cheerleader,"2018-11-21 07:34:37.500637"
704,"Fleetwood Mac","Little Lies","2018-11-21 07:33:07.331355"
705,Seal,Crazy,"2018-11-21 07:19:05.733079"
706,"John Waite","Missing You","2018-11-21 07:16:05.318311"
707,"Challe Salle",Legenda,"2018-11-21 07:12:34.896120"
708,"Cnco Little Mix","Reggaeton Lento","2018-11-21 07:09:04.432021"
709,"Boris Novkovic","U Dobru I Zlu","2018-11-21 07:04:33.836115"
710,Queen,"I Want It All","2018-11-21 07:01:03.379355"
711,"Bon Jovi","It's My Life","2018-11-21 07:00:33.319394"
712,"Bruno Mars",Treasure,"2018-11-21 05:51:07.685340"
713,"Village People",Ymca,"2018-11-21 05:46:37.116680"
714,"Bonnie Tyler","Total Eclipse Of The Heart","2018-11-21 05:43:36.743611"
715,Roxette,"How Do You Do","2018-11-21 05:40:36.360921"
716,Bql,Ptica,"2018-11-21 05:36:35.850488"
717,"Mariah Carey",Hero,"2018-11-21 05:32:35.321335"
718,"Pet Shop Boys","Always On My Mind","2018-11-21 05:28:34.822035"
